,Old Ref ID,Ref ID,Record Last Updated (dd/mm/yyyy),Operator (or Applicant),Site Name,Technology Type,Storage Type,Storage Co-location REPD Ref ID,Installed Capacity (MWelec),CHP Enabled,RO Banding (ROC/MWh),FiT Tariff (p/kWh),CfD Capacity (MW),Turbine Capacity (MW),No. of Turbines,Height of Turbines (m),Mounting Type for Solar,Development Status,Development Status (short),Address,County,Region,Country,Post Code,X-coordinate,Y-coordinate,Planning Authority,Appeal Reference,Secretary of State Reference,Type of Secretary of State Intervention,Judicial Review,Offshore Wind Round,Planning Application Submitted,Planning Application Withdrawn,Planning Permission Refused,Appeal Lodged,Appeal Withdrawn,Appeal Refused,Appeal Granted,Planning Permission Granted,Secretary of State - Intervened,Secretary of State - Refusal,Secretary of State - Granted,Planning Permission Expired,Under Construction,Operational
601,N00061L,668,14/02/2005,Viridor,Heathfield 'A' Landfill,Landfill Gas,,,2,No,,,,,,,,Operational,Operational,"John Acres Lane
Fosterville
Devon",Devon,South West,England,,"290,000","90,000",Teignbridge District Council,,,,,,13/01/2003,,,,,,,31/03/2003,,,,,,16/06/2003
602,N00064L,669,28/09/2004,Waste Recycling Group,Ongar Landfill Scheme,Landfill Gas,,,1,No,,,,,,,,Operational,Operational,"LECA Works
Mill Lane
High Ongar
Essex",Essex,Eastern,England,,"556,250","202,350",Epping Forest District Council,,,,,,04/07/2003,,,,,,,,,,,,,01/07/2004
603,N00067L,670,06/08/2010,CLP and Briagas,PG2 Bolam Power Generator (Extension),Landfill Gas,,,1.1,No,,,,,,,,Operational,Operational,"Bolam Quarry, Bolam Village, County Durham",Durham,North East,England,,"419,100","523,100",Durham County Council,,,,,,07/08/2003,,,,,,,18/12/2003,,,,,,01/06/2004
604,N00069L,671,03/03/2010,Garlaff Energy Ltd,Garlaff Landfill (Extension),Landfill Gas,,,3,No,,,,,,,,Operational,Operational,Garlaff Landfill Site,Strathclyde,Scotland,Scotland,,"254,300","617,500",East Ayrshire Council,,,,,,13/08/2003,,,,,,,18/12/2003,,,,,,29/12/2003
605,N00071L,672,29/07/2009,Waste Recycling Group,Milton Landfill Site,Landfill Gas,,,2,No,,,,,,,,Operational,Operational,Milton Landfill Site,Cambridgeshire,Eastern,England,,"547,312","262,455",South Cambridgeshire District Council,,,,,,,,,,,,,,,,,,,01/07/1993
606,N00072L,673,30/10/2011,Biffa,Risley Sets 13 & 14,Landfill Gas,,,2.1,No,,,,,,,,Operational,Operational,Silver Lane Risley Warrington Cheshire,Cheshire,North West,England,,"366,500","393,300",Warrington Borough Council,,,,,,,,,,,,,,,,,,,21/11/2003
607,N00090L,674,28/07/2009,SITA UK,Path Head,Landfill Gas,,,1,No,,,,,,,,Operational,Operational,"Blaydon
Tyne and Wear",Tyne and Wear,North East,England,,"417,508","563,386",Gateshead Metropolitan Borough Council,,,,,,01/01/2002,,,,,,,04/03/2005,,,,,,15/02/2009
608,N00093L,675,30/06/2009,Waste Recycling Group,Oatslie Landfill Gas,Landfill Gas,,,2,No,,,,,,,,Operational,Operational,Near Roslin,Lothian,Scotland,Scotland,,"327,200","663,100",Midlothian Council,,,,,,01/09/2004,,,,,,,10/01/2005,,,,,01/05/2006,01/12/2006
611,N00116L,678,21/07/2005,Vivid Waste Management,Weston Landfill Site,Landfill Gas,,,2,No,,,,,,,,Operational,Operational,"Weston Landfill,
South of Northampton,
(M1 J16)",Northamptonshire,East Midlands,England,,"467,080","258,920",South Northamptonshire Council,,,,,,,,,,,,,,,,,,,31/12/2003
612,N00118L,679,06/08/2010,RMC Aggregates,West Mill,Landfill Gas,,,2.5,No,,,,,,,,Operational,Operational,"Westmill Landfill Site, Westmill, Ware, Hertfordshire",Essex,Eastern,England,SG12 OES,"554,384","222,939",Uttlesford District Council,,,,,,22/04/1999,,,,,,,19/07/1999,,,,,,01/03/2005
613,N00141L,680,26/01/2012,Biffa,Skelton Grange Landfill,Landfill Gas,,,5.2,No,,,,,,,,Operational,Operational,"Skelton Grange Landfill, Newham Road, Newham Green, Leeds",West Yorkshire,Yorkshire and Humber,England,LS15 9AD,"436,600","430,600",Leeds City Council,,,,,,16/12/2004,,,,,,,17/03/2005,,,,,01/05/2006,01/05/2007
614,N00143L,681,30/04/2010,Biffa,Houghton-le-Spring Landfill Site,Landfill Gas,,,3,No,,,,,,,,Operational,Operational,"Houghton-le-Spring Landfill Site, The Quarry, Quarry Road",Tyne and Wear,North East,England,DH4 4AU,"435,320","550,025",Sunderland City Council,,,,,,01/01/2004,,,,,,,,,,,,,01/12/2006
615,N00149L,682,27/04/2006,William Tracey Ltd,Barkip Landfill Site,Landfill Gas,,,1.2,No,,,,,,,,Operational,Operational,"Barkip Landfill Site, Dalry",Strathclyde,Scotland,Scotland,KA24 4JJ,"229,333","650,530",North Ayrshire Council,,,,,,01/10/2003,,,,,,,21/01/2004,,,,,,13/10/2004
616,N00153L,683,01/06/2010,Fife Council,Lochhead,Landfill Gas,,,2,No,,,,,,,,Operational,Operational,"A823, Dunfermline, Fife",Fife,Scotland,Scotland,KY12 0RX,"308,500","690,500",Fife Council,,,,,,,,,,,,,,,,,,,01/09/2006
617,N2011L2,684,25/10/2016,Biffa,Cottonmount Quarry,Landfill Gas,,,3.2,No,,,,,,,,Operational,Operational,"Cottonmount Quarry, 140 Mallusk Road, Mallusk, Newtownabbey, County Antrim",Co. Antrim,Northern Ireland,Northern Ireland,BT36 4QN,"141,164","539,297",Northern Ireland Planning Service,,,,,,25/06/1999,,,,,,,02/01/2001,,,,,,10/02/2009
618,S0011L3,686,21/05/2003,ARC / Waste Recycling Group,Kaimes Landfill Site,Landfill Gas,,,2.4,No,,,,,,,,Operational,Operational,Edinburgh,Lothian,Scotland,Scotland,,"312,800","666,500",Edinburgh City Council,,,,,,23/02/1994,,,,,,,23/02/1995,,,,,,15/02/2003
619,S0013L3,687,30/11/2005,Waste Recycling Group,Greengairs Landfill Scheme Phase VI,Landfill Gas,,,2.2,No,,,,,,,,Operational,Operational,North Lanarkshire,Strathclyde,Scotland,Scotland,,"278,500","669,700",North Lanarkshire Council,,,,,,12/12/2000,,,,,,,15/03/2002,,,,,,01/12/2002
620,S0014L3,688,22/04/2009,Auchencarroch Energy Ltd / CLP,Auchencarroch Landfill,Landfill Gas,,,2.1,No,,,,,,,,Operational,Operational,"Auchencarroch landfill site, Auchencarroch Road, Jamestown, Alexandria, West Dunbartonshire",Strathclyde,Scotland,Scotland,,"242,100","681,100",West Dunbartonshire Council,,,,,,20/11/2000,,,,,,,10/05/2001,,,,,,15/08/2002
621,S0017L3,689,27/04/2006,Graveson Energy Management,Greenoakhill,Landfill Gas,,,3.9,No,,,,,,,,Operational,Operational,Glasgow,Strathclyde,Scotland,Scotland,,"266,600","662,700",Glasgow City Council,,,,,,01/06/1999,,,,,,,30/06/1999,,,,,,01/06/2000
622,S0019L3,690,03/03/2010,Barr Environmental / CLP,Garlaff Landfill,Landfill Gas,,,1.3,No,,,,,,,,Operational,Operational,East Ayrshire,Strathclyde,Scotland,Scotland,,"254,300","617,500",East Ayrshire Council,,,,,,18/03/2002,,,,,,,13/06/2002,,,,,,29/12/2003
623,S0020L3,691,05/10/2009,Waste Recycling Group,Tarbothill Landfill Site,Landfill Gas,,,2.2,No,,,,,,,,Operational,Operational,"Bridge of Don, Aberdeen",Grampian,Scotland,Scotland,,"395,600","813,500",Aberdeen City Council,,,,,,22/08/2002,,,,,,,14/11/2002,,,,,,14/11/2002
624,S0024L2,692,30/10/2011,Waste Recycling Group,Greengairs Landfill Scheme Phase III,Landfill Gas,,,2,No,,,,,,,,Operational,Operational,Airdrie,Strathclyde,Scotland,Scotland,,"278,500","669,700",North Lanarkshire Council,,,,,,24/06/1997,,,,,,,12/09/1997,,,,,,13/08/1999
625,S0025L2,693,30/10/2011,Waste Recycling Group,Greengairs Landfill Scheme Phase IV,Landfill Gas,,,2,No,,,,,,,,Operational,Operational,Airdrie,Strathclyde,Scotland,Scotland,,"278,500","669,700",North Lanarkshire Council,,,,,,24/06/1997,,,,,,,12/09/1997,,,,,,13/08/1999
626,S0028L1,694,30/10/2011,Waste Recycling Group,Greengairs Landfill Scheme Phase I,Landfill Gas,,,1.9,No,,,,,,,,Operational,Operational,Greengairs Landfill Site,Strathclyde,Scotland,Scotland,,"278,500","659,700",North Lanarkshire Council,,,,,,25/02/1994,,,,,,,24/05/1994,,,,,,01/05/1996
627,S0029L1,695,30/10/2011,Waste Recycling Group,Greengairs Landfill Scheme Phase II,Landfill Gas,,,1.9,No,,,,,,,,Operational,Operational,Greengairs Landfill Site,Strathclyde,Scotland,Scotland,,"278,500","669,700",North Lanarkshire Council,,,,,,25/02/1994,,,,,,,24/05/1994,,,,,,01/10/1996
628,ENA0008,696,10/12/2013,,West Quarry,Landfill Gas,,,4.5,No,,,,,,,,Operational,Operational,West Lancashire,Lancashire,North West,England,,"352,200","409,700",West Lancashire Borough Council,,,,,,,,,,,,,,,,,,,01/01/1992
629,N00131L,697,20/12/2013,Fife Council,Lower Melville Wood,Landfill Gas,,,1,No,,,,,,,,Operational,Operational,"Lower Melville Wood Landfill Site, Landfill Site Lower Melville Wood, Cupar",Fife,Scotland,Scotland,KY15 7UL,"330,000","711,700",Fife Council,,,,,,,,,,,,,,,,,,,28/02/2007
630,N00139L,698,10/12/2013,Waste Recycling Group,Bennett Bank Landfill Site (lfg),Landfill Gas,,,2.2,No,,,,,,,,Operational,Operational,"Thwaite Flat,
Barrow In Furness
LA14 4QU",Cumbria,North West,England,,"321,500","474,500",Barrow in Furness Borough Council,,,,,,04/03/2005,,,,,,,28/06/2005,,,,,,01/10/2005
631,N00003L,699,09/01/2015,Veolia,Efford Landfill (Newmilton),Landfill Gas,,,2.8,No,,,,,,,,Operational,Operational,"Efford Landfill Site, Pennington, Lyminton",Hampshire,South East,England,SO41 8QZ,"423,500","95,400",New Forest District Council,,,,,,30/04/2003,,,,,,,18/11/2003,,,,,,01/11/2004
633,05004L5,701,29/06/2005,SITA UK / Natural Power,Betton Abbots,Landfill Gas,,,1.3,No,,,,,,,,Operational,Operational,"Cross Howes, Shrewsbury, Shropshire",Shropshire,West Midlands,England,,"351,400","308,300",Shropshire Council,,,,,,13/03/2000,,,,,,,17/05/2000,,,,,,01/08/2003
634,06002L4,702,06/08/2010,SITA UK,Burnhills Landfill Scheme (L4),Landfill Gas,,,1.5,No,,,,,,,,Operational,Operational,"Greenside Road, Blaydon,
Tyne and Wear",Tyne and Wear,North East,England,,"415,600","562,400",Gateshead Metropolitan Borough Council,,,,,,27/02/1998,,,,,,,12/12/2001,,,,,,01/06/2005
635,06054L5,704,23/03/2005,SITA UK / Natural Power,Brenkley Landfill,Landfill Gas,,,1.9,No,,,,,,,,Operational,Operational,"Dinnington, Newcastle Upon Tyne, Tyne & Wear",Tyne and Wear,North East,England,,"420,900","575,000",Newcastle upon Tyne City Council,,,,,,05/06/2001,,,,,,,16/05/2002,,,,,,01/12/2003
636,06057L5,705,05/02/2010,SITA UK,Burnhills Landfill (L5),Landfill Gas,,,3.8,No,,,,,,,,Operational,Operational,"Longridge Road, Greenside, Tyne & Wear",Tyne and Wear,North East,England,,"415,600","562,400",Gateshead Metropolitan Borough Council,,,,,,27/02/1998,,,,,,,12/12/2001,,,,,,01/05/2006
637,07042L5,706,13/07/2006,SITA UK / Natural Power,Clifton Marsh Energy,Landfill Gas,,,3.3,No,,,,,,,,Operational,Operational,"Newton With Clifton, Freckleton, Preston, Lancashire",Lancashire,North West,England,,"347,100","428,700",Fylde Borough Council,,,,,,19/03/2002,,,,,,,24/04/2002,,,,,,13/07/2006
638,07044L5,707,24/05/2006,SITA UK,Ulnes Walton Energy,Landfill Gas,,,1.3,No,,,,,,,,Operational,Operational,"Ridley Lane, Croston, Preston, Lancashire",Lancashire,North West,England,,"349,400","420,300",Chorley Borough Council,,,,,,20/01/2000,,,,,,,10/05/2000,,,,,,03/03/2003
639,07045L5,708,10/12/2009,SITA UK,Jameson Road,Landfill Gas,,,4.3,No,,,,,,,,Operational,Operational,"Jameson Road Landfill Site, Jameson Road, Fleetwood, Lancs",Lancashire,North West,England,,"333,300","445,700",Wyre Borough Council,,,,,,16/06/2003,,,,,,,06/08/2003,,,,,,13/07/2006
640,07073L5,709,10/12/2004,ONYX,Scouthead Power Plant,Landfill Gas,,,2.9,No,,,,,,,,Operational,Operational,"Highmoor Landfill, Whitegate Lane, Scouthead, Oldham, Lancashire",Greater Manchester,North West,England,,"397,500","406,500",Oldham Council,,,,,,02/01/2001,,,,,,,11/10/2001,,,,,,25/09/2003
641,09009L5,710,19/10/2005,SITA UK,Runfold Landfill,Landfill Gas,,,1.2,No,,,,,,,,Operational,Operational,"Guildford Road, Runfold, Farnham, Surrey",Surrey,South East,England,,"486,500","147,300",Waverley Borough Council,,,,,,04/03/2003,,,,,,,15/07/2003,,,,,,01/10/2005
642,02068L5,711,09/06/2010,SITA UK,Narborough Landfill,Landfill Gas,,,2.7,No,,,,,,,,Operational,Operational,"Huncote Road, Narborough, Leicester, Leicestershire",Leicestershire,East Midlands,England,,"452,500","297,500",Blaby District Council,,,,,,11/09/2000,,,,,,,17/11/2001,,,,,,11/03/2005
643,02070L5,712,28/02/2005,SITA UK,Lount/Smoile,Landfill Gas,,,1.1,No,,,,,,,,Operational,Operational,"Nottingham Road, Lount, Ashby De La Zouch, Leicestershire",Leicestershire,East Midlands,England,,"438,200","318,700",North West Leicestershire District Council,,,,,,09/03/2000,,,,,,,21/06/2000,,,,,,21/07/2003
644,02071L5,713,22/09/2005,Nene Valley Waste Ltd,Sidegate Lane,Landfill Gas,,,2.4,No,,,,,,,,Operational,Operational,"Sidegate Lane, Wellingborough, Northamptonshire",Northamptonshire,East Midlands,England,,"491,700","270,300",Wellingborough Borough Council,,,,,,,,,,,,,,,,,,,01/01/1996
645,N00017L,714,09/06/2010,Natural Power / SITA UK,Godmanchester,Landfill Gas,,,3,No,,,,,,,,Operational,Operational,"Godmanchester Landfill
Cow Lane
Huntingdon
Cambridgeshire",Cambridgeshire,Eastern,England,,"525,700","271,000",Huntingdonshire District Council,,,,,,30/11/2001,,,,,,,18/03/2002,,,,,,27/06/2003
646,S0016L3,715,03/03/2010,SITA UK / Natural Power,Binn Landfill,Landfill Gas,,,1.9,No,,,,,,,,Operational,Operational,"Glenfarg, Perthshire",Tayside,Scotland,Scotland,,"317,600","713,900",Perth and Kinross Council,,,,,,23/03/2001,,,,,,,19/06/2001,,,,,,01/04/2004
647,S0022L2,716,22/04/2009,Natural Power,Auchinlea Landfill Site,Landfill Gas,,,2.3,No,,,,,,,,Operational,Operational,Bellside,Strathclyde,Scotland,Scotland,,"281,000","659,000",North Lanarkshire Council,,,,,,,,,,,,,,,,,,,01/11/2002
648,02062L5,717,27/09/2005,Biffa,Ufton,Landfill Gas,,,1,No,,,,,,,,Operational,Operational,"Ufton, Nr Southam, Leamington Spa",Warwickshire,West Midlands,England,,"438,100","261,200",Stratford on Avon District Council,,,,,,14/04/1999,,,,,,,06/09/1999,,,,,,26/11/1999
649,02063L5,718,27/09/2005,Biffa,Wilnecote Landfill Site,Landfill Gas,,,1,No,,,,,,,,Operational,Operational,"Rush Lane, Dosthill, Tamworth, Staffordshire",Staffordshire,West Midlands,England,,"421,500","300,500",Tamworth Borough Council,,,,,,19/05/1999,,,,,,,18/02/2000,,,,,,08/06/2000
650,08041L5,719,29/09/2005,Biffa,Pebsham,Landfill Gas,,,3,No,,,,,,,,Operational,Operational,"Freshfields, Bexhill Road, St Leonards On Sea, East Sussex",East Sussex,South East,England,,"577,500","109,000",Hastings Borough Council,,,,,,09/12/1999,,,,,,,17/05/2000,,,,,,05/10/2000
651,08042L5,720,10/12/2009,Biffa,Redhill 2,Landfill Gas,,,3,No,,,,,,,,Operational,Operational,"Cormongers Lane, Nutfield, Nr Redhill, Surrey",Surrey,South East,England,,"529,500","150,100",Tandridge District Council,,,,,,22/07/1999,,,,,,,01/11/1999,,,,,,10/12/2001
652,08043L5,721,30/03/2005,Biffa,Shakespeare Farm Landfill Site,Landfill Gas,,,1,No,,,,,,,,Operational,Operational,"St Mary Hoo, Rochester, Kent",Kent,South East,England,,"581,500","177,100",Medway Council,,,,,,10/05/1999,,,,,,,01/11/1999,,,,,,02/08/2000
653,05072L3,722,30/10/2011,Biogas Technology Ltd and Avon CC,Harn Hill Quarry Landfill Site,Landfill Gas,,,2.6,No,,,,,,,,Operational,Operational,Harn Hill Quarry Aust Road Olveston Bristol  Avon,Avon,South West,England,,"359,000","188,000",South Gloucestershire Council,,,,,,06/07/1995,,,,,,,25/09/1995,,,,,,01/10/1996
654,N00018L,723,06/08/2010,Combined Landfill Projects (CLP) / SITA UK,Beacon Hill,Landfill Gas,,,3,No,,,,,,,,Operational,Operational,"Beacon Hill
Dorset",Dorset,South West,England,,"398,000","95,000",East Dorset District Council,,,,,,28/12/2001,,,,,,,05/07/2002,,,,,,01/12/2004
655,08002L3,724,19/10/2005,Biogeneration / Biffa,Patteson Court Landfill Site,Landfill Gas,,,1.8,No,,,,,,,,Operational,Operational,"Patteson Court Landfill Site
Cormongers Lane
Surrey",Surrey,South East,England,,"529,300","151,000",Reigate and Banstead Borough Council,,,,,,12/01/1994,,,,,,,07/03/1994,,,,,,01/07/1996
656,01003L4,725,13/01/2005,Cleanaway / EDL,"Rainham Landfill Scheme, Phase I",Landfill Gas,,,3.9,No,,,,,,,,Operational,Operational,"Ferry Lane 
Rainham
Havering",Greater London,London,England,,"552,400","179,100",Havering London Borough Council,,,,,,08/11/1996,,,,,,,06/02/1998,,,,,,28/02/2000
657,N00094L,726,09/03/2010,CLP Envirogas,South Cathkin Landfill Site,Landfill Gas,,,7.4,No,,,,,,,,Operational,Operational,"Cathkin Landfill site. near to Rogerton, South Lanarkshire",Strathclyde,Scotland,Scotland,,"262,500","657,500",South Lanarkshire Council,,,,,,17/05/2004,,,,,,,09/03/2005,,,,,,01/01/2006
658,11007L5,727,08/05/2002,Combined Landfill Projects (CLP Envirogas),Connon Bridge Landfill Gas Project,Landfill Gas,,,5.2,No,,,,,,,,Operational,Operational,"East Taphouse, Liskeard, Cornwall",Cornwall,South West,England,,"219,000","62,500",Cornwall Council,,,,,,01/06/2000,,,,,,,31/07/2001,,,,,,15/03/2002
659,01006L3,728,30/03/2005,Combined Landfill Projects (CLP),Mayton Wood Landfill Site,Landfill Gas,,,1.5,No,,,,,,,,Operational,Operational,"Mayton Wood Landfill Site
Little Hautbois 
Coltishall
Norfolk",Norfolk,Eastern,England,,"624,600","320,800",Broadland District Council,,,,,,10/12/1993,,,,,,,14/04/1994,,,,,,01/03/1996
660,01007L3,729,05/05/2001,Combined Landfill Projects (CLP),Blackborough End Landfill Site,Landfill Gas,,,1.5,No,,,,,,,,Operational,Operational,Blackborough End Landfill Site Mill Drove Blackborough End Kings Lynn Norfolk,Norfolk,Eastern,England,,"567,200","314,600",King's Lynn and West Norfolk Borough Council,,,,,,10/12/1993,,,,,,,22/12/1995,,,,,,01/06/1996
661,07001L4,730,24/05/2006,Combined Landfill Projects (CLP),Whinney Hill Waste Disposal Site,Landfill Gas,,,1.2,No,,,,,,,,Operational,Operational,"Whinney Hill Waste Disposal Site, Hyndburn
Whinney Hill Road
Clayton-le-Moors
Lancashire",Lancashire,North West,England,,"375,600","430,300",Hyndburn Borough Council,,,,,,02/12/1997,,,,,,,04/03/1998,,,,,,08/01/1999
662,07009L5,731,24/05/2006,Combined Landfill Projects (CLP),Queen's Park Road Energy,Landfill Gas,,,1.8,No,,,,,,,,Operational,Operational,"Rowley Landfill, Queen Park Road, Burnley, Lancashire",Lancashire,North West,England,,"385,095","433,435",Burnley Borough Council,,,,,,26/03/1992,,,,,,,20/08/1992,,,,,,01/09/2000
663,11008L5,732,10/12/2009,Combined Landfill Projects (CLP),Chelson Meadow 2,Landfill Gas,,,1.4,No,,,,,,,,Operational,Operational,"Laira Bridge Road, Plymouth, Devon",Devon,South West,England,,"249,610","54,475",Plymouth City Council,,,,,,21/05/1997,,,,,,,18/07/1998,,,,,,02/08/1999
664,N00055L,733,09/12/2003,Combined Landfill Projects (CLP),Costessey Landfill Gas Project 2,Landfill Gas,,,2,No,,,,,,,,Operational,Operational,"Longwater Industrial Estate 
Dereham Road
Norwich
Norfolk",Norfolk,Eastern,England,,"616,150","310,750",South Norfolk Council,,,,,,21/05/2002,,,,,,,27/09/2002,,,,,,14/05/2003
665,S0017L2,734,30/10/2011,Combined Landfill Projects (CLP),Summerston Landfill,Landfill Gas,,,2.8,No,,,,,,,,Operational,Operational,Glasgow,Strathclyde,Scotland,Scotland,,"258,000","671,700",Glasgow City Council,,,,,,30/03/1998,,,,,,,01/12/1998,,,,,,28/07/1999
666,01003L5,735,22/04/2009,Cory Environmental,Barling Hall Farm,Landfill Gas,,,2.4,No,,,,,,,,Operational,Operational,"Little Wakening Road, Great Wakering, Essex",Essex,Eastern,England,,"593,600","190,500",Rochford District Council,,,,,,25/08/1999,,,,,,,04/02/2000,,,,,,01/06/2004
667,01004L5,736,27/04/2006,Cory Environmental,Bellhouse South,Landfill Gas,,,3.9,No,,,,,,,,Operational,Operational,"Warren Lane, Stanway, Colchester, Essex",Essex,Eastern,England,,"594,900","222,200",Colchester Borough Council,,,,,,22/06/2000,,,,,,,22/09/2000,,,,,,01/05/2004
668,01005L5,737,29/09/2004,Cory Environmental,Mucking Gas 3 Landfill Scheme,Landfill Gas,,,3.9,No,,,,,,,,Operational,Operational,"Crown Cottage, Mucking Wharf Road, Stanford le Hope, Essex",Essex,Eastern,England,,"568,400","180,000",Thurrock Council,,,,,,09/03/1999,,,,,,,22/07/1999,,,,,,18/07/2000
669,02015L3,738,30/10/2011,East Midlands Electricity Generation,Sidegate Lane Landfill Site,Landfill Gas,,,1.3,No,,,,,,,,Operational,Operational,"Sidegate Lane Landfill Site, Finedon, near Wellingborough, Northants",Northamptonshire,East Midlands,England,,"491,500","270,300",Wellingborough Borough Council,,,,,,26/04/1995,,,,,,,09/06/1995,,,,,,01/08/1996
670,01001L4,739,08/09/2008,ENERGY DEVELOPMENTS (UK) LTD,Mucking Gas 2 Landfill Scheme,Landfill Gas,,,3.8,No,,,,,,,,Operational,Operational,"Mucking Wharf Road
Mucking
Stanford
Essex",Essex,Eastern,England,,"568,400","180,000",Thurrock Council,,,,,,12/03/1999,,,,,,,22/07/1999,,,,,,19/07/2000
671,11014L4,740,30/10/2011,Haul Waste Limited,Heathfield 'C' Landfill Scheme,Landfill Gas,,,2.2,No,,,,,,,,Operational,Operational,John Acres Lane Fosterville Devon,Devon,South West,England,,"286,100","76,200",Teignbridge District Council,,,,,,20/03/1997,,,,,,,14/07/1997,,,,,,04/08/1998
672,02046L4,741,30/09/2004,Natural Power,Lincoln Landfill Scheme,Landfill Gas,,,2,No,,,,,,,,Operational,Operational,"Whisby Rd
North Hykeham
Lincoln
Lincolnshire",Lincolnshire,East Midlands,England,,"493,000","367,600",North Kesteven District Council,,,,,,14/09/1994,,,,,,,08/12/1994,,,,,,06/06/2000
673,02053L5,742,20/07/2009,Natural Power,Bretby Power,Landfill Gas,,,1.6,No,,,,,,,,Operational,Operational,"Newhall, Swadlincote, Derbyshire",Derbyshire,East Midlands,England,,"428,100","321,100",South Derbyshire District Council,,,,,,,,,,,,,,,,,,,01/09/2001
674,12053L5,743,09/05/2006,Natural Power,Bootham Lane Landfill,Landfill Gas,,,2.7,No,,,,,,,,Operational,Operational,"Bootham Lane Landfill, Doncaster, South Yorkshire",South Yorkshire,Yorkshire and Humber,England,,"465,700","410,800",Doncaster Metropolitan Borough Council,,,,,,28/01/2000,,,,,,,19/05/2000,,,,,,01/12/2002
675,12103L4,744,29/07/2004,Natural Power,Peckfield Quarry Landfill Scheme,Landfill Gas,,,3.9,No,,,,,,,,Operational,Operational,"Peckfield Quarry
Pit Lane
Micklefield
Leeds",West Yorkshire,Yorkshire and Humber,England,,"443,500","432,000",Leeds City Council,,,,,,30/06/1998,,,,,,,22/09/1998,,,,,,25/01/2000
676,N00022L,745,10/12/2004,Natural Power,Horncliffe Quarry,Landfill Gas,,,1,No,,,,,,,,Operational,Operational,"Horncliffe Quarry
Bury
Rossendale,
Lancashire
BB4 6EZ",Lancashire,North West,England,,"380,634","420,905",Rossendale Borough Council,,,,,,20/06/2000,,,,,,,24/09/2000,,,,,,01/04/2001
677,S0008L3,746,16/12/2003,Natural Power,Dunlop Landfill Gas Scheme,Landfill Gas,,,2.4,No,,,,,,,,Operational,Operational,East Ayrshire,Strathclyde,Scotland,Scotland,,"244,600","651,500",East Ayrshire Council,,,,,,17/01/2000,,,,,,,27/09/2000,,,,,,15/04/2003
678,S0009L3,747,29/10/2001,Natural Power,Bonnyrigg,Landfill Gas,,,2.2,No,,,,,,,,Operational,Operational,"Melville Landfill Site,
Lasswade,
Midlothian",Lothian,Scotland,Scotland,,"329,700","666,500",Midlothian Council,,,,,,10/02/2000,,,,,,,29/03/2000,,,,,,15/07/2001
679,07060L5,748,24/05/2006,Natural Power / SITA UK,Salt Ayre,Landfill Gas,,,4,No,,,,,,,,Operational,Operational,"Salt Ayre Landfill, Ovangle Road, Lancaster, Lancashire",Lancashire,North West,England,,"345,500","462,500",Lancaster City Council,,,,,,14/06/1999,,,,,,,29/10/1999,,,,,,22/03/2000
680,02080L3,749,22/04/2009,Redland Aggregates Ltd / Combined Landfill Projects (CLP),Mountsorrel Landfill Site,Landfill Gas,,,1.6,No,,,,,,,,Operational,Operational,"Mountsorrel Quarry
Loughborough Road
Mountsorrel
Leicestershire",Leicestershire,East Midlands,England,,"457,100","315,000",Charnwood Borough Council,,,,,,07/06/1994,,,,,,,24/10/1994,,,,,,01/05/1996
681,N00147L,750,19/10/2005,Renewable Power Generation Ltd,Fairoak Landfill,Landfill Gas,,,1.5,No,,,,,,,,Operational,Operational,"Fairoak Landfill
East Horten Farm
Mortimer Lane
Hampshire",Hampshire,South East,England,,"450,495","118,446",Eastleigh Borough Council,,,,,,19/04/2005,,,,,,,13/09/2005,,,,,,24/04/2006
683,02052L4,752,15/11/2005,Renewable Power Systems,Boston Landfill Scheme,Landfill Gas,,,1.3,No,,,,,,,,Operational,Operational,"Slippery Gowt Farm
Boston
Lincolnshire",Lincolnshire,East Midlands,England,,"534,800","341,300",Boston Borough Council,,,,,,27/11/1997,,,,,,,16/03/1998,,,,,,15/03/1999
684,09012L4,753,19/10/2005,Renewable Power Systems,Trumps Farm Landfill Scheme,Landfill Gas,,,2.9,No,,,,,,,,Operational,Operational,"Kitsmead Lane
Longcross
Chertsey
Surrey",Surrey,South East,England,,"499,400","166,100",Runnymede Borough Council,,,,,,18/10/1996,,,,,,,09/12/1996,,,,,,14/04/1998
685,09056L5,754,29/09/2005,Renewable Power Systems,High Heavens Landfill,Landfill Gas,,,1.9,No,,,,,,,,Operational,Operational,"Clay Lane, Booker, High Wycombe, Buckinghamshire",Buckinghamshire,South East,England,,"483,300","189,800",Wycombe District Council,,,,,,02/03/1999,,,,,,,04/06/1999,,,,,,12/04/2000
686,10052L4,756,15/07/2009,Renewable Power Systems,Docksway Landfill Scheme,Landfill Gas,,,2,No,,,,,,,,Operational,Operational,Newport,Gwent,Wales,Wales,,"330,500","185,300",Newport City Council,,,,,,23/03/1999,,,,,,,19/05/1999,,,,,,30/03/2000
687,02064L5,757,07/10/2009,SITA UK,Cranford,Landfill Gas,,,1.1,No,,,,,,,,Operational,Operational,"Cranford Landfill Site, Thrapston Lane, Cranford St. John Nr Kettering, Northamptonshire",Northamptonshire,East Midlands,England,,"493,100","276,200",Kettering Borough Council,,,,,,29/03/2006,,,,,,,19/04/2006,,,,,,01/12/2006
